ID,X,Y,Demanda
0,50,50,0
1,43,63,9
2,87,50,14
3,24,34,6
4,45,73,6
5,33,80,11
6,54,29,12
7,79,78,7
8,23,42,13
9,26,31,12
10,33,44,12
11,32,45,12
12,42,80,15
13,27,40,15
14,60,58,9
15,77,17,14
16,66,44,9
17,23,54,7
18,49,10,5
19,14,29,5
20,24,57,12
21,66,70,14
22,22,18,5
23,39,24,9
24,85,68,6
25,28,27,13
26,78,29,13
27,22,88,13
28,13,10,11
29,52,36,9
30,87,65,5
31,55,15,6
32,51,65,7
33,79,33,8
34,29,18,15
35,30,25,8
36,26,58,10
37,72,69,11
38,87,40,8
39,66,76,15
40,59,71,12
41,42,64,6
42,68,66,10
43,50,50,10
44,81,12,12
45,42,40,10
46,21,82,15
47,90,24,13
48,67,10,6
49,46,34,8
50,48,14,14
51,24,54,8
52,35,81,11
53,79,72,5
54,87,10,12
55,68,83,5
56,62,46,12
57,10,37,13
58,78,15,14
59,54,74,9
60,42,52,7
61,15,47,5
62,59,81,7
63,15,43,14
64,23,88,15
65,14,70,8
66,24,18,8
67,67,79,11
68,27,66,7
69,48,14,5
70,68,76,13
71,36,10,12
72,80,14,13
73,27,26,9
74,80,12,7
75,23,72,7
